200	15	-	15	-	15	-	15	-	15	-	15	-	15	-	14	0	-	-	0,8	0,8	-
400	29	-	29	-	29	-	29	-	29	-	29	-	29	-	14	1	-	-	1,6	1,6	-
600	44	-	44	-	44	-	44	-	43	-	43	-	43	-	14	1	-	-	2,4	2,4	-
800	59	-	59	-	58	-	58	-	58	-	58	-	58	-	14	2	-	-	3,2	3,2	-
1000	74	-	74	-	73	-	73	-	73	-	73	-	73	-	13	2	-	-	4	4	-
1200	89	-	89	-	89	-	89	-	88	-	88	-	88	-	13	2	-	-	4,8	4,8	-
1400	104	-	104	-	104	-	104	-	104	-	104	-	104	-	13	3	-	-	5,6	5,6	-
1600	120	-	120	-	120	-	120	-	119	-	119	-	119	-	13	3	-	-	6,5	6,5	-
1800	136	-	136	-	136	-	136	-	135	-	135	-	135	-	12	3	-	-	7,3	7,3	-
2000	153	-	153	-	152	-	152	-	151	-	151	-	151	-	12	4	-	-	8,2	8,2	-
2200	171	-	170	-	169	-	169	-	168	-	167	-	167	-	12	4	-	-	9,1	9,1	-
2400	188	-	187	-	187	-	186	-	185	-	184	-	184	-	11	5	-	-	10	10	-
2600	206	-	205	-	204	-	203	-	202	-	201	-	201	-	11	5	-	-	11	11	-
2800	224	-	223	-	222	-	221	-	220	-	219	-	219	-	11	5	-	-	12	12	-
3000	243	-	242	-	241	-	240	-	239	-	238	-	238	-	11	6	-	-	13	13	-
3200	263	-	262	-	260	-	259	-	258	-	257	-	257	-	10	6	-	-	14	14	-
3400	281	-	282	-	280	-	279	-	277	-	276	-	276	-	9,7	7	-	-	15	15	-
3600	305	-	303	-	301	-	299	-	297	-	296	-	296	-	9,3	8	-	-	16	16	-
3800	327	-	325	-	323	-	321	-	319	-	317	-	317	-	8,9	9	-	-	17	17	-
4000	350	-	348	-	345	-	343	-	341	-	339	-	339	-	8,5	9	-	-	18	18	-
4200	375	-	372	-	369	-	367	-	364	-	362	-	362	-	8	10	-	-	19	19	-
4400	401	-	398	-	395	-	392	-	389	-	386	-	386	-	7,5	11	-	-	21	21	-
4600	429	-	425	-	422	-	418	-	415	-	411	-	411	-	7	12	-	-	22	22	-
4800	460	-	455	-	451	-	447	-	443	-	439	-	439	-	6,4	13	-	-	23	23	-
5000	495	-	489	-	484	-	478	-	473	-	469	-	469	-	5,7	14	-	-	25	25	-
5200	535	-	528	-	521	-	514	-	508	-	502	-	502	-	4,8	15	-	-	27	27	-
5400	584	-	574	-	564	-	556	-	548	-	541	-	541	-	3,8	17	-	-	29	29	-
5600	660	-	639	-	622	-	609	-	597	-	587	-	587	-	-	20	-	-	31	31	-
