200	12	-	12	-	12	-	12	-	12	-	12	-	12	-	17	0	0	-	0,7	0,7	-
400	24	-	24	-	24	-	24	-	24	-	24	-	24	-	16	0	0	-	1,4	1,4	-
600	36	-	36	-	36	-	36	-	36	-	36	-	36	-	16	1	0	-	2,2	2,2	-
800	48	10	48	10	48	10	48	10	48	10	48	10	48	9	16	1	0,2	-	2,9	2,9	-
1000	60	13	60	13	60	13	60	12	60	12	60	12	60	12	16	1	0,1	-	3,6	3,6	-
1200	73	16	73	16	73	16	73	15	73	15	73	15	73	15	16	2	0,1	-	4,4	4,4	-
1400	86	19	86	19	86	18	85	18	85	18	85	17	85	17	16	2	0,1	-	5,1	5,1	-
1600	99	21	99	21	99	21	98	20	98	20	98	20	98	19	15	2	0,1	-	5,8	5,8	-
1800	112	24	112	23	112	23	111	23	111	22	111	22	111	21	15	3	0,1	-	6,6	6,6	-
2000	125	26	125	26	125	25	125	25	124	24	4	24	124	23	15	3	0,1	-	7,4	7,4	-
2200	139	29	139	28	138	28	138	27	137	26	137	26	137	25	15	3	0,1	-	8,2	8,2	-
2400	153	31	153	31	152	30	152	29	151	28	151	28	151	27	14	4	0,1	-	9	9	-
2600	167	34	167	33	166	32	166	31	165	30	165	30	164	29	14	4	0,1	-	9,8	9,8	-
2800	181	36	181	35	180	35	180	34	179	33	179	32	178	31	14	4	0,1	-	10	10	-
3000	196	39	195	38	194	37	194	36	193	35	193	34	192	33	14	4	0,1	-	11	11	-
3200	211	42	210	40	209	39	208	38	208	37	207	36	206	35	13	5	0,1	-	12	12	-
3400	226	45	225	43	224	42	223	40	223	39	222	38	221	37	13	5	0,1	-	13	13	-
3600	242	47	241	46	240	44	239	43	238	41	237	40	236	39	12	6	0,1	-	14	14	-
3800	258	50	257	48	256	46	255	45	254	43	253	42	252	41	12	6	0,1	-	15	15	-
4000	275	53	274	51	273	49	272	47	271	46	269	44	268	43	12	6	0,1	-	16	16	-
4200	293	55	291	53	290	51	289	50	288	48	286	46	285	45	11	7	0,1	-	17	17	-
4400	311	58	309	56	308	54	306	52	305	50	303	48	302	47	11	7	0,1	-	18	18	-
4600	330	61	328	59	326	57	324	55	323	53	321	51	319	49	11	8	0,1	-	19	19	-
4800	350	63	348	61	345	59	343	57	341	55	339	53	337	51	10	8	0,1	-	20	20	-
5000	371	66	368	64	365	62	362	59	360	57	358	55	356	53	9,7	8	0,1	-	21	21	-
5200	393	69	389	67	386	64	383	62	380	60	378	58	376	56	9,1	9	0,1	-	22	22	-
5400	416	72	412	70	409	67	405	65	402	62	399	60	397	58	8,5	10	0,1	-	23	23	-
5600	441	75	437	73	433	70	429	68	425	65	422	63	419	60	7,8	10	0,1	-	24	24	-
5800	469	79	464	76	459	73	454	71	450	68	446	65	442	63	7,2	11	0,1	-	25	25	-
6000	499	83	493	80	488	77	482	74	477	71	472	68	467	65	6,5	12	0,1	-	27	27	-
6200	534	87	526	84	519	80	513	77	507	74	501	71	495	68	5,7	13	0,1	-	28	28	-
6400	575	92	565	88	556	84	548	80	540	77	533	74	527	71	4,6	14	0,1	-	30	30	-
6600	633	98	617	93	603	89	591	85	581	81	572	77	563	74	3,1	16	-	-	32	32	-
6800	750	105	750	102	683	96	656	91	637	86	623	82	611	78	3,1	19	-	-	35	35	-
7000	-	-	-	-	750	100	750	97	750	94	750	91	689	85	3,1	23	-	-	38	38	-
7200	-	-	-	-	-	-	-	-	-	-	-	-	750	88	3,1	23	-	-	38	38	-
